u,v,pen
0.03970,0.00183,0
0.03970,0.00183,1
0.03833,0.00036,1
0.03696,-0.00110,1
0.03499,-0.00148,1
0.03343,-0.00179,1
0.03540,-0.00141,1
0.03730,-0.00090,1
0.03877,0.00046,1
0.04004,0.00131,1
0.04024,-0.00069,1
0.04016,-0.00268,1
0.03989,-0.00466,1
0.03961,-0.00665,1
0.03933,-0.00863,1
0.03906,-0.01062,1
0.03878,-0.01260,1
0.03779,-0.01418,1
0.03751,-0.01483,1
0.03586,-0.01593,1
0.03386,-0.01612,1
0.03187,-0.01631,1
0.03004,-0.01555,1
0.02823,-0.01469,1
0.02737,-0.01316,1
0.02731,-0.01124,1
0.02905,-0.01025,1
0.03079,-0.00925,1
0.03253,-0.00826,1
0.03324,-0.00789,1
0.03156,-0.00898,1
0.02988,-0.01007,1
0.02810,-0.01092,1
0.02716,-0.01207,1
0.02734,-0.01407,1
0.02881,-0.01507,1
0.03070,-0.01574,1
0.03029,-0.01571,1
0.02835,-0.01520,1
0.02739,-0.01547,1
0.02834,-0.01724,1
0.02929,-0.01900,1
0.02905,-0.02090,1
0.02852,-0.02284,1
0.02799,-0.02477,1
0.02746,-0.02670,1
0.02784,-0.02530,1
0.02836,-0.02336,1
0.02889,-0.02143,1
0.02954,-0.01964,1
0.03153,-0.01940,1
0.03116,-0.01785,1
0.03140,-0.01633,1
0.03183,-0.01829,1
0.03180,-0.01870,1
0.03162,-0.01683,1
0.03321,-0.01608,1
0.03521,-0.01587,1
0.03657,-0.01696,1
0.03652,-0.01897,1
0.03646,-0.02097,1
0.03509,-0.02197,1
0.03500,-0.02398,1
0.03492,-0.02598,1
0.03484,-0.02798,1
0.03476,-0.02999,1
0.03468,-0.03199,1
0.03460,-0.03399,1
0.03452,-0.03600,1
0.03378,-0.03625,1
0.03239,-0.03480,1
0.03100,-0.03336,1
0.02962,-0.03191,1
0.02823,-0.03046,1
0.02742,-0.02880,1
0.02777,-0.02691,1
0.02923,-0.02554,1
0.03069,-0.02417,1
0.03215,-0.02279,1
0.03278,-0.02120,1
0.03238,-0.02147,1
0.03137,-0.02299,1
0.02995,-0.02441,1
0.02853,-0.02582,1
0.02808,-0.02628,1
0.02951,-0.02488,1
0.03095,-0.02348,1
0.03238,-0.02208,1
0.03240,-0.02100,1
0.03226,-0.02259,1
0.03081,-0.02398,1
0.02937,-0.02537,1
0.02792,-0.02676,1
0.02743,-0.02858,1
0.02660,-0.03026,1
0.02551,-0.03190,1
0.02471,-0.03374,1
0.02392,-0.03558,1
0.02312,-0.03742,1
0.02233,-0.03926,1
0.02153,-0.04110,1
0.02074,-0.04294,1
0.01994,-0.04478,1
0.01915,-0.04662,1
0.01835,-0.04846,1
0.01756,-0.05030,1
0.01676,-0.05214,1
0.01566,-0.05381,1
0.01451,-0.05545,1
0.01335,-0.05709,1
0.01359,-0.05678,1
0.01477,-0.05516,1
0.01595,-0.05354,1
0.01695,-0.05181,1
0.01777,-0.04998,1
0.01859,-0.04815,1
0.01941,-0.04632,1
0.02100,-0.04606,1
0.02036,-0.04541,1
0.02127,-0.04613,1
0.01991,-0.04511,1
0.02069,-0.04327,1
0.02147,-0.04142,1
0.02226,-0.03958,1
0.02304,-0.03773,1
0.02382,-0.03589,1
0.02461,-0.03404,1
0.02539,-0.03219,1
0.02638,-0.03048,1
0.02777,-0.03011,1
0.02911,-0.03160,1
0.03046,-0.03308,1
0.03181,-0.03457,1
0.03315,-0.03605,1
0.03439,-0.03722,1
0.03449,-0.03522,1
0.03460,-0.03321,1
0.03470,-0.03121,1
0.03480,-0.02921,1
0.03491,-0.02721,1
0.03501,-0.02521,1
0.03512,-0.02320,1
0.03529,-0.02167,1
0.03592,-0.02357,1
0.03655,-0.02547,1
0.03719,-0.02737,1
0.03782,-0.02927,1
0.03846,-0.03118,1
0.03909,-0.03308,1
0.03972,-0.03498,1
0.04036,-0.03688,1
0.03986,-0.03540,1
0.03923,-0.03349,1
0.03860,-0.03159,1
0.03796,-0.02969,1
0.03733,-0.02779,1
0.03669,-0.02589,1
0.03606,-0.02398,1
0.03543,-0.02208,1
0.03658,-0.02104,1
0.03670,-0.01904,1
0.03653,-0.01708,1
